district,state,area
Vellore,Tamil Nadu,6074713891
Vidisha,Madhya Pradesh,7303054854
Viluppuram,Tamil Nadu,7286534462
Virudhunagar,Tamil Nadu,4244562527
Visakhapatnam,Andhra Pradesh,11593205646
Vizianagaram,Andhra Pradesh,6163111870
Warangal,Telangana,12915191228
Wardha,Maharashtra,6309356851
Washim,Maharashtra,5140835307
Wayanad,Kerala,2135777570
West District,Sikkim,1204788939
West Garo Hills,Meghalaya,3478872452
West Godavari,Andhra Pradesh,7737776079
West Kameng,Arunachal Pradesh,5513949504
West Khasi Hills,Meghalaya,5217742078
West Siang,Arunachal Pradesh,7829247281
West Tripura,Tripura,3018685906
West,Delhi,141277247.2
Wokha,Nagaland,1623570299
Y.S.R.,Andhra Pradesh,15345696367
Yadgir,Karnataka,5274961270
Yamunanagar,Haryana,1724322100
Yanam,Puducherry,37297739.96
Yavatmal,Maharashtra,13586727981
Zunheboto,Nagaland,1541263518
