GIS_ST_NAME,GIS_ST_ABBR,GIS_PC_NAME,ST_CODE,PC_CODE,PC_ID,DISTRICT,GIS_Dist_code,AREA_GEO,Tot_area,Pct_Area,POP,Tot_pop,Pct_pop
Rajasthan,RJ,Pali,S20,15,S20_15,Jodhpur,113,7141.228709,22861.75913,0.31236567,1279988.453,3840172.479,0.333315355
Rajasthan,RJ,Jodhpur,S20,16,S20_16,Jodhpur,113,15720.5301,22861.75913,0.687634316,2560476.555,3840172.479,0.666760821
Rajasthan,RJ,Jodhpur,S20,16,S20_16,Jaisalmer,114,9702.12973,38433.58102,0.252438869,243826.5084,693849.4446,0.351411261
Rajasthan,RJ,Barmer,S20,17,S20_17,Jaisalmer,114,28731.45079,38433.58102,0.747561118,449920.5816,693849.4446,0.648441222
Rajasthan,RJ,Barmer,S20,17,S20_17,Barmer,115,28414.11934,28414.15861,0.999998618,2680890.229,2680890.229,1
Rajasthan,RJ,Jalore,S20,18,S20_18,Jalor,116,10729.59924,10729.59967,0.99999996,1902166.196,1902166.196,1
Rajasthan,RJ,Jalore,S20,18,S20_18,Sirohi,117,5158.05943,5158.135909,0.999985173,1085837.043,1085915.481,0.999927769
Rajasthan,RJ,Pali,S20,15,S20_15,Pali,118,10209.18747,12352.63989,0.826478191,1772947.424,2125422.451,0.834162368
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Pali,118,2143.323524,12352.63989,0.173511374,352759.5596,2125422.451,0.165971503
Rajasthan,RJ,Ajmer,S20,13,S20_13,Ajmer,119,7820.880418,8520.157163,0.917926779,2422832.69,2632210.218,0.920455621
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Ajmer,119,696.6689035,8520.157163,0.081767142,207913.3907,2632210.218,0.078988141
Rajasthan,RJ,Jaipur Rural,S20,6,S20_6,Ajmer,119,2.607497715,8520.157163,0.000306039,1082.665533,2632210.218,0.000411314
Rajasthan,RJ,Tonk - Sawai Madhopur,S20,12,S20_12,Tonk,120,7248.70483,7248.70519,0.99999995,1487788.629,1487788.629,1
Rajasthan,RJ,Bhilwara,S20,23,S20_23,Bundi,121,1900.486924,5580.724253,0.340544854,375008.075,1164216.145,0.322112072
Rajasthan,RJ,Kota,S20,24,S20_24,Bundi,121,3680.237198,5580.724253,0.659455123,789852.0441,1164216.145,0.678441067
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Bhilwara,122,6.628421774,10460.90586,0.000633637,1518.968918,2503737.348,0.000606681
Rajasthan,RJ,Bhilwara,S20,23,S20_23,Bhilwara,122,10454.23847,10460.90586,0.999362638,2502037.628,2503737.348,0.999321127
Rajasthan,RJ,Udaipur,S20,19,S20_19,Rajsamand,123,13.34843121,4801.363269,0.002780134,3059.547816,1258727.187,0.002430668
Rajasthan,RJ,Chittaurgarh,S20,21,S20_21,Rajsamand,123,53.28872572,4801.363269,0.011098666,14340.22934,1258727.187,0.011392643
Rajasthan,RJ,Rajsamand,S20,22,S20_22,Rajsamand,123,4726.899487,4801.363269,0.984491117,1239297.551,1258727.187,0.984564061
Rajasthan,RJ,Bhilwara,S20,23,S20_23,Rajsamand,123,7.707531025,4801.363269,0.00160528,1813.861942,1258727.187,0.001441029
Rajasthan,RJ,Udaipur,S20,19,S20_19,Dungarpur,124,1123.014958,3785.460421,0.296665355,444342.4673,1439355.655,0.308709293
Rajasthan,RJ,Banswara,S20,20,S20_20,Dungarpur,124,2662.445361,3785.460421,0.703334619,994927.7485,1439355.655,0.691231347
Rajasthan,RJ,Udaipur,S20,19,S20_19,Banswara,125,5.573827735,4505.022968,0.001237247,2114.801021,1643229.123,0.001286979
Rajasthan,RJ,Banswara,S20,20,S20_20,Banswara,125,4499.448979,4505.022968,0.998762717,1640797.763,1643229.123,0.998520377
